Feature,FeatureLabel,OR,low_95,high_95,p.value
loudness,Loudness,3.9061523687973025,1.9422937235051398,7.855674012438007,1.3219225274057215e-4
danceability,Danceability,2.1815136045167094,1.4992707984236295,3.1742108308220356,4.572588895811663e-5
valence,Valence,1.7747803207355057,1.3439632781505984,2.343698848084945,5.258165672710591e-5
tempo,Tempo,0.9361058070518697,0.6836999215535017,1.2816939923075004,0.6804369562341502
acousticness,Acousticness,0.4820919108000875,0.3527872833177697,0.6587896487457461,4.6596049490154426e-6
energy,Energy,0.26516233565263597,0.16041370011067752,0.438310843776124,2.2586417367512256e-7
